id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url
72D9UKdVnlc,GTA IV! Minhas primeiras edições!!!,2014-07-23T16:55:31Z,Este video foi gravado antes da minha camera quebrar,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,48,3,0,NA,https://www.youtube.com/watch?v=72D9UKdVnlc
Y3An2AAcwJ4,GTA IV! O novo Super Man!!!!,2014-07-24T01:26:25Z,ATENÇÃO este video foi gravado antes da minha camera quebrer!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,28,3,0,1,https://www.youtube.com/watch?v=Y3An2AAcwJ4
k3Q7-wi3TzE,GTA V! Ep 1,2014-08-02T18:23:43Z,O pior pulador de paraquedas do mundo!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,20,2,0,0,https://www.youtube.com/watch?v=k3Q7-wi3TzE
nZGZELj23OA,GTA V! A vila dos pelados,2014-08-09T20:07:50Z,Muita zueira!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,194,7,0,2,https://www.youtube.com/watch?v=nZGZELj23OA
g_A7VCYBoW0,Minecraft! Ep 8,2014-08-17T15:16:04Z,A continuação da série!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,26,4,0,NA,https://www.youtube.com/watch?v=g_A7VCYBoW0
mrxOfwJjIpI,GTA V! O roubo do jato XD,2014-08-23T17:26:01Z,Escrevão nos comentarios se gostarem da edição,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,80,3,0,NA,https://www.youtube.com/watch?v=mrxOfwJjIpI
QTK2BcKxFtA,Cumprindo desafio do balde de gelo!,2014-08-29T19:18:39Z,"Desafio para conscientização da doença ELA, aceito",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,250,7,0,NA,https://www.youtube.com/watch?v=QTK2BcKxFtA
GDyC_xeWsAQ,Minecraft! Especial de uma hora!!!,2014-09-04T17:07:01Z,Este vídeo foi feito por termos chegado a 1.000 visualizações,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,37,5,0,NA,https://www.youtube.com/watch?v=GDyC_xeWsAQ
Uj_5HxtWVMM,Vídeo zueira! Vejam a descrição,2014-09-04T22:18:58Z,Como descobrir se seu amigo é um assassino profissional!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,162,10,0,NA,https://www.youtube.com/watch?v=Uj_5HxtWVMM
0gAytUB5qM4,Word of Tanks! Morri!,2014-09-06T19:51:45Z,Como não destruir tanques!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,20,4,0,NA,https://www.youtube.com/watch?v=0gAytUB5qM4
c1R5hmdwZyw,Minecraft! Desafios de um amigo Ep 1,2014-09-10T23:40:41Z,Desculpe se o tamanho do video for pequeno :(,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,47,2,0,NA,https://www.youtube.com/watch?v=c1R5hmdwZyw
1cHKXcft5GA,Video zueira! O troco,2014-09-12T19:16:12Z,Gabriel maldito!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,77,3,0,NA,https://www.youtube.com/watch?v=1cHKXcft5GA
--LIMZecSJA,Minecraft! Desafios de um amigo Ep 2,2014-09-15T23:10:15Z,O tirador de escadas :(,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,32,2,0,NA,https://www.youtube.com/watch?v=--LIMZecSJA
Akkj7uL0DS8,Minecraft! Desafios de um amigo Ep 3 (FIM?),2014-09-19T22:16:05Z,Eu vou cobrá-lo um mapa melhor!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,25,3,0,NA,https://www.youtube.com/watch?v=Akkj7uL0DS8
3TQBsM1ODjY,Plants vs Zombies! Ep 1,2014-09-23T19:40:56Z,E morreu!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,26,2,0,NA,https://www.youtube.com/watch?v=3TQBsM1ODjY
ZoLoEZpOx4Q,Video zueira!,2014-10-03T18:10:20Z,A MORTE!!!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,98,8,0,NA,https://www.youtube.com/watch?v=ZoLoEZpOx4Q
FKf0txXrf6M,HAPPY WHEELS! Ep 1,2014-10-10T22:46:49Z,SWORD THROW PRÓ!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,30,4,0,NA,https://www.youtube.com/watch?v=FKf0txXrf6M
MMBi7K23g5g,GTA V! Procurando Easter Eggs,2014-10-14T09:12:22Z,Loucuras!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,34,4,0,0,https://www.youtube.com/watch?v=MMBi7K23g5g
Jv7SD2xZn1U,HAPPY WHEELS! Ep 2,2014-10-15T11:42:17Z,Rope swing!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,22,5,0,NA,https://www.youtube.com/watch?v=Jv7SD2xZn1U
WEWdKKDb54c,ROBLOX! Disaster survival,2014-10-15T16:39:24Z,FPS!!!!!!!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,43,6,0,0,https://www.youtube.com/watch?v=WEWdKKDb54c
ftj4D_OpD34,Roblox! Ep 2,2014-10-22T23:40:36Z,Com o gerenciador do canal!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,39,6,0,0,https://www.youtube.com/watch?v=ftj4D_OpD34
twYDierVQAY,Roblox Ep 3!,2014-10-30T18:22:52Z,Muita tensão e cada vc!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,40,3,0,NA,https://www.youtube.com/watch?v=twYDierVQAY
mL27GgklSkI,Happy Wheels! Ep 3,2014-11-19T17:07:51Z,Jogando aleatóriamente,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,30,4,0,NA,https://www.youtube.com/watch?v=mL27GgklSkI
Zq_RcboNI1A,Trollface Quest!,2014-11-23T19:41:50Z,Zerado em 10 minutos!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,29,5,0,NA,https://www.youtube.com/watch?v=Zq_RcboNI1A
puQbXhb-jt0,Video zueira!!!,2014-11-25T16:10:36Z,Polly a destruidora,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,95,11,0,NA,https://www.youtube.com/watch?v=puQbXhb-jt0
dkeaRb6Zo1Y,GTA V! jogando com o JV,2014-12-02T19:15:53Z,Zueira estreme!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,91,8,0,1,https://www.youtube.com/watch?v=dkeaRb6Zo1Y
610WM0ZVBlk,Trollface Quest 2! pássaro escroto,2014-12-04T16:32:09Z,Zerando em 9 minutos!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,33,3,0,0,https://www.youtube.com/watch?v=610WM0ZVBlk
kninS_qMyOw,Five night's at Freddys 2!!! muita tensão,2014-12-09T15:50:59Z,Me borrei todo XD,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,38,5,0,NA,https://www.youtube.com/watch?v=kninS_qMyOw
PzPsRCtx27A,Happy Wheels! Ep 4,2014-12-10T16:37:26Z,Matrix!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,29,4,0,NA,https://www.youtube.com/watch?v=PzPsRCtx27A
H9jNcFbcTtc,GTA V! mais zueira impossivel XD,2014-12-17T12:25:31Z,OMG!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,44,7,0,1,https://www.youtube.com/watch?v=H9jNcFbcTtc
EeKifyUZa9k,Video Importante!!!!,2014-12-18T15:41:26Z,:(,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,63,5,0,NA,https://www.youtube.com/watch?v=EeKifyUZa9k
GqamkeJ8xqk,GTA V! zueira no trem!!!,2015-01-15T20:20:58Z,"Galera desculpa pela demora, mas tentarei voltar com os videos editados!!!",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,212,4,0,0,https://www.youtube.com/watch?v=GqamkeJ8xqk
q5J8gC9-Ec8,Minecraft! Desafios de um amigo Ep 1,2015-01-23T15:21:13Z,Galera voltamos com a segunda temporada de Minecraft Desafios!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,62,6,0,1,https://www.youtube.com/watch?v=q5J8gC9-Ec8
lKFkUdL1INM,Minecraft! Desafios de um amigo Ep 2,2015-01-26T12:35:45Z,Esta cada vez mais difícil!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,44,6,0,0,https://www.youtube.com/watch?v=lKFkUdL1INM
2FuHCQ8F_Eg,Minecraft! Desafios de um amigo Ep 3,2015-01-27T15:30:23Z,Enderman maldito quase morri!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,37,6,0,0,https://www.youtube.com/watch?v=2FuHCQ8F_Eg
Sx-IRgaqnZw,Minecraft! Desafios de um amigo Ep 4,2015-01-28T17:21:03Z,Mais um Enderman que maldição!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,45,5,0,0,https://www.youtube.com/watch?v=Sx-IRgaqnZw
XqoaAhJbRS4,GTA V! Zuando com códigos!!!,2015-01-30T18:38:22Z,"Esse video tem tudo para ser um lixo XD

Site:http://games.terra.com.br/dicas-e-tutoriais/gta-v-veja-codigos-para-invencibilidade-armas-e-outros,7824b54404071410VgnVCM10000098cceb0aRCRD.html",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,96,7,0,0,https://www.youtube.com/watch?v=XqoaAhJbRS4
9zzhvYjG6cQ,Minecraft! Desafios de um amigo Ep 5,2015-01-31T16:01:38Z,Péssimas noticias ;(,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,25,5,0,0,https://www.youtube.com/watch?v=9zzhvYjG6cQ
e42uvRMXNcU,NOVA INTRO!!!,2015-02-02T16:39:58Z,Galera deixem um like se gostarem da nova intro que eu criei!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,81,9,0,0,https://www.youtube.com/watch?v=e42uvRMXNcU
WV0tfeuexz8,Minecraft! Desafios de um amigo Ep 7 (FIM!?!?),2015-02-04T20:08:36Z,E nós terminamos mais uma temporada de minecraft desafios XD,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,41,6,0,0,https://www.youtube.com/watch?v=WV0tfeuexz8
GHpyZF0APo8,Happy Wheels! Ep 5,2015-02-10T08:20:54Z,Um recado importante!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,22,7,0,NA,https://www.youtube.com/watch?v=GHpyZF0APo8
w0qT8S6ARw8,AVISO IMPORTANTE!!!,2015-02-14T13:30:59Z,Passem no canal mais tarde!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,75,8,0,NA,https://www.youtube.com/watch?v=w0qT8S6ARw8
Wq0Rq-D0Kuw,Especial de Gartic!!!,2015-02-15T10:36:23Z,"Canal da galera:
Forkside:https: //www.youtube.com/user/ForkSide1
Ville :3 https://www.youtube.com/user/villelagamerful
Victorios games: https://www.youtube.com/channel/UC0uho7KJTrhcsoMy6g-R3ew
RevoltzCraft: https://www.youtube.com/user/RevoltzCraft",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,86,10,0,0,https://www.youtube.com/watch?v=Wq0Rq-D0Kuw
UVK1xIF_bF4,Trollface Quest 3! O roubo da trolla lisa!!!,2015-02-18T13:01:52Z,E zeramos mais um jogo da saga pessoal :),UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,32,7,0,0,https://www.youtube.com/watch?v=UVK1xIF_bF4
rhYGAEBwHeU,Catmario! Ep 1,2015-02-19T21:48:01Z,Mais que raiva cara!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,80,8,0,NA,https://www.youtube.com/watch?v=rhYGAEBwHeU
IPxloVKdruw,"Cumprindo mico do tomate, é horrivel!!!",2015-02-25T20:53:48Z,Cara eu nunca mais chego perto de tomate!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,216,20,0,3,https://www.youtube.com/watch?v=IPxloVKdruw
xmPCzK3B-Ms,"O poema proibido, me caguei XD",2015-02-27T17:08:30Z,"Canal da garela:
Lhgamers:https://www.youtube.com/channel/UCwky_zkGX9-WnQ9HWwp8eOQ
Victoriosgames:https://www.youtube.com/channel/UC0uho7KJTrhcsoMy6g-R3ew",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,271,21,0,NA,https://www.youtube.com/watch?v=xmPCzK3B-Ms
XzAwXj7iDo0,Happy Wheels! Ep 6,2015-02-28T18:45:59Z,Mitando!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,301,9,0,NA,https://www.youtube.com/watch?v=XzAwXj7iDo0
6CDkK4kQxm8,A volta do canal! - Minecraft no PC!!!!,2015-06-17T19:30:05Z,"Canal do victorios:
https://www.youtube.com/channel/UC0uho7KJTrhcsoMy6g-R3ew",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,72,8,0,0,https://www.youtube.com/watch?v=6CDkK4kQxm8
wi0SHbrXk0Q,Gartic com os parça,2015-06-26T18:52:15Z,"Canal do Gabriel:
https://www.youtube.com/user/GABRIELGAMER57
Canal do Ville:
https://www.youtube.com/user/villelagamerful",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,66,8,0,0,https://www.youtube.com/watch?v=wi0SHbrXk0Q
bAbT6Tu8iTo,Minecraft - Rage do victorios e mitando com arco e flecha,2015-07-01T16:44:26Z,"Canal do victorios:
https://www.youtube.com/channel/UC0uho7KJTrhcsoMy6g-R3ew",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,64,8,0,0,https://www.youtube.com/watch?v=bAbT6Tu8iTo
pUOhbwEPk6Q,Minecraft! Sky wars Ep 2,2015-07-08T00:03:53Z,"Canal do victorios:
https://www.youtube.com/channel/UC0uho7KJTrhcsoMy6g-R3ew",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,87,7,0,1,https://www.youtube.com/watch?v=pUOhbwEPk6Q
YkKi9IQOjNc,Agar.io! Rage total,2015-07-14T01:31:28Z,Alone ;-;,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,119,8,0,0,https://www.youtube.com/watch?v=YkKi9IQOjNc
o25D1pjOEP8,Jogo Video Teste,2016-01-27T23:23:32Z,,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,144,10,0,1,https://www.youtube.com/watch?v=o25D1pjOEP8
kpVGbhFZ9Mk,Transmissão ao vivo de Formiga Atômica,2018-01-22T17:35:42Z,,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,0,0,0,0,https://www.youtube.com/watch?v=kpVGbhFZ9Mk
Qk5EFKzPsG8,AI EH HUMILDE,2018-04-30T02:04:47Z,,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,174,17,0,2,https://www.youtube.com/watch?v=Qk5EFKzPsG8
